Jogador;Time;#;Nação;Pos.;Idade
Alan Ruschel;Juventude;28;BRA;LB;34
Nikão;Athletico Paranaense;11;BRA;AM,RW;31
Mateo Gamarra;Athletico Paranaense;15;PAR;CB;23
Matheus Dias;Internacional;41;BRA;RB;27
Derek;Atlético Goianiense;17;BRA;FW;26
Maguinho;Atlético Goianiense;7;BRA;RW;31
Max;Atlético Goianiense;19;BRA;RW;21
Alejo Cruz;Atlético Goianiense;20;URU;AM;23
Rafael Ratão;Bahia;21;BRA;FW;28
Edenílson;Grêmio;15;BRA;RW;34
Rafael Cabral;Grêmio;33;BRA;GK;33
Rômulo;Atlético Mineiro;47;BRA;CB;20
Helinho;Red Bull Bragantino;11;BRA;RW;24
Lucas Evangelista;Red Bull Bragantino;8;BRA;DM;28
Pedro Henrique;Red Bull Bragantino;14;BRA;CB;28
Leo Ortiz;Flamengo;3;BRA;CB;28
Patric Calmon PK;Vitória;14;BRA;LB,WB;29
Reynaldo Cesar Moraes;Vitória;40;BRA;CB;27
Rodrigo;São Paulo;18;BRA;AM;20
Erick;São Paulo;33;BRA;WB;26
Ramon;Cuiabá;23;BRA;WB;23
Zé Rafael;Palmeiras;8;BRA;CM;30
Cuiabano;Botafogo (RJ);66;BRA;LB,WB;21
Giovane;Corinthians;17;BRA;RB;20
Gabriel Barbosa;Flamengo;10;BRA;FW;27
Léo Mana;Corinthians;35;BRA;RB;20
Fernando;Athletico Paranaense;6;BRA;LB;24
Derek;Atlético Goianiense;9;BRA;FW;26
Emiliano Rodríguez;Atlético Goianiense;21;URU;FW;20
Gabriel Barros;Atlético Goianiense;7;BRA;RW;22
Danielzinho;Atlético Goianiense;17;BRA;AM;28
Lucas Kal;Atlético Goianiense;5;BRA;DM;28
Vitor Hugo Amorim;Cruzeiro;22;BRA;LM;20
Breno;Fortaleza;26;BRA;LW;28
Matheus Rossetto;Fortaleza;16;BRA;DM;27
Talisson;Red Bull Bragantino;21;BRA;FW;21
Matheus Fernandes;Red Bull Bragantino;35;BRA;LM;25
José Luis Rodríguez Bebanz;Vasco da Gama;2;URU;LW;27
Bruno Praxedes;Vasco da Gama;21;BRA;AM;22
Patryck;São Paulo;36;BRA;LB;21
Keno;Fluminense;11;BRA;LW;34
Erick Castillo;Vitória;31;ECU;LM;29
Caio Vinícius;Vitória;15;BRA;CM;25
Vágner Love;Atlético Goianiense;9;BRA;FW;39
Emiliano Rodríguez;Atlético Goianiense;19;URU;FW;20
Alejo Cruz;Atlético Goianiense;11;URU;LW;23
Budiga Roni;Atlético Goianiense;16;BRA;CM;25
Rhaldney;Atlético Goianiense;7;BRA;RM;25
Felipe Carballo;Grêmio;8;URU;DM;27
Mayk;Grêmio;26;BRA;LB;24
Enner Valencia;Internacional;13;ECU;FW;34
Alan Patrick;Internacional;10;BRA;AM;33
Charles Aránguiz;Internacional;20;CHI;DM;35
Igor Gomes;Internacional;3;BRA;RB;23
Thiago dos Santos;Fluminense;29;BRA;CB;34
Marlon;Fluminense;4;BRA;CB;28
Luis Oyama;Juventude;5;BRA;CM,DM;27
Allano;Criciúma;2;BRA;FW;29
Arthur;Criciúma;45;BRA;RW;31
Ronald;Criciúma;6;BRA;RM;26
Rodrigo Fagundes;Criciúma;150;BRA;CB;37
Jonathan;Criciúma;13;BRA;RB;31
Caio Paulista;Palmeiras;16;BRA;LB;26
Victor Luis;Vasco da Gama;12;BRA;LM;30
Gabriel Barbosa;Flamengo;99;BRA;FW;27
David Luiz;Flamengo;23;BRA;CB;37
Lucas Moura;São Paulo;7;BRA;FW;31
Luiz Gustavo;São Paulo;16;BRA;CM;36
João Moreira;São Paulo;30;POR;RB;20
Kaiki;Cruzeiro;6;BRA;LB;21
Leandro Emmanuel Martínez;Fortaleza;8;ARG;LM;29
Tomás Cardona;Fortaleza;25;ARG;CB;28
Lucas Di Yorio;Athletico Paranaense;7;ARG;DM;27
Yarlen Augusto;Botafogo (RJ);67;BRA;FW;18
Ewerton;Juventude;14;BRA;RW;23
Mateo Zuleta;Atlético Goianiense;21;COL;LW;21
Tobias Figueiredo;Criciúma;29;POR;CB;30
Vágner Love;Atlético Goianiense;18;BRA;FW;40
Alejo Cruz;Atlético Goianiense;19;URU;LM,CB;23
Bruno Tubarão;Atlético Goianiense;13;BRA;RB;29
Caetano;Corinthians;4;BRA;CB,RW;24
Gabriel Moscardo;Corinthians;44;BRA;CM,LM;18
Vinicius Mendonça;Red Bull Bragantino;54;BRA;LW;20
Brahian Palacios;Atlético Mineiro;30;COL;FW;21
João Wellington;Cruzeiro;77;BRA;LM;20
Lucas Villalba;Cruzeiro;25;ARG;LB;29
Evertton;Flamengo;52;BRA;AM;21
Nathan;Grêmio;14;BRA;FW;28
João Pedro Pepê;Grêmio;23;BRA;CM;26
Reinaldo;Grêmio;6;BRA;LB;34
Hyoran;Internacional;7;BRA;FW;31
Fabrício;Internacional;12;BRA;GK;38
Jandrei;São Paulo;93;BRA;GK;31
Kayke Santos;Athletico Paranaense;21;BRA;RW;16
Leonardo Linck;Athletico Paranaense;24;BRA;GK;23
João Carlos;Criciúma;21;BRA;FW;22
Yago;Bahia;20;BRA;RM;29
Gilberto;Bahia;2;BRA;RB;31
Pedro Rocha Neves;Fortaleza;32;BRA;LM,RM;29
Gabriel Taliari;Juventude;19;BRA;AM;27
Peixoto;Juventude;72;BRA;DM;26
Gabriel Carvalho;Internacional;34;BRA;AM;16
Matheus Araújo;Corinthians;30;BRA;RW;22
João Pedro;Corinthians;47;BRA;CB;20
Wellington Rato;São Paulo;27;BRA;AM;31
Kauan;Fortaleza;37;BRA;LM;19
Caíque;Grêmio;97;BRA;GK;26
Sergio Antonio De Luiz Junior;Vasco da Gama;70;BRA;AM;29
Arthur Rodrigues;Cruzeiro;68;BRA;FW;20
Wesley Gasolina;Cruzeiro;2;BRA;AM;24
Mateo Zuleta;Atlético Goianiense;17;COL;LW;22
Max;Atlético Goianiense;20;BRA;LM;21
Alejo Cruz;Atlético Goianiense;6;URU;LB;23
Matheus Mendes;Atlético Mineiro;31;BRA;GK;25
Alejo Cruz;Atlético Goianiense;17;URU;LW;23
Vágner Love;Atlético Goianiense;19;BRA;RM;40
Mateo Zuleta;Atlético Goianiense;18;COL;LM;22
Luiz Gustavo;Atlético Goianiense;3;BRA;CB;21
Budiga Roni;Atlético Goianiense;15;BRA;CM;25
Fabiano;Botafogo (RJ);79;BRA;RB;18
Calebe;Fortaleza;10;BRA;RW;24
Fábio Soares;Vitória;83;BRA;RM;19
Raúl Cáceres;Vitória;27;PAR;RB;32
Pablo Baianinho;Vitória;62;BRA;RB;20
Isaac;Atlético Mineiro;41;BRA;FW;20
Robert Conceição;Atlético Mineiro;33;BRA;CM;20
Cleiton;Flamengo;33;BRA;LB;21
Lucca Drummond;Internacional;48;BRA;FW;20
Matheus Donelli;Corinthians;32;BRA;GK;22
Lucas Calegari;Fluminense;31;BRA;RB;22
Jhonatan Jowjow;Palmeiras;40;BRA;AM;21
García;Palmeiras;32;BRA;RW;22
Alejo Cruz;Atlético Goianiense;18;URU;LB;23
Luiz Felipe;Atlético Goianiense;14;BRA;CB;30
Pedro Rangel;Atlético Goianiense;1;BRA;GK;23
Gabriel;Fluminense;22;BRA;CM;30
Kayke;Corinthians;31;BRA;LW;20
Mariano;Atlético Mineiro;25;BRA;CB;38
Dudu;Palmeiras;7;BRA;LW,FW;32
Guilherme Estrella;Vasco da Gama;14;BRA;AM;19
Leandrinho;Vasco da Gama;66;BRA;LB;19
João Machado Cruz;Athletico Paranaense;57;BRA;LW;18
Mateus Claus;Juventude;77;BRA;GK;29
Yeferson Rodallega;Atlético Goianiense;17;COL;LB;23
Luiz Felipe;Atlético Goianiense;4;BRA;CB;30
Paulo Vitor;Atlético Mineiro;27;BRA;CM;19
Vitor Reis;Palmeiras;44;BRA;CB;18
Everton;Red Bull Bragantino;55;BRA;LW;22
Kauê;Botafogo (RJ);25;BRA;LM;19
Alejo Cruz;Atlético Goianiense;8;URU;LM;23
Budiga Roni;Atlético Goianiense;7;BRA;RM;25
Randerson;Atlético Goianiense;17;BRA;CM,RM;20
Luis Eduardo Marques dos Santos;Fortaleza;20;BRA;RW;27
João Pedro;Grêmio;18;BRA;RB;27
Jan Lucumí González;Fluminense;17;COL;RM;20
Werton;Flamengo;26;BRA;LW;20
Emersonn;Athletico Paranaense;90;BRA;RW;19
Jadson;Cuiabá;77;BRA;LM,RM;18
Helibelton Palacios;Cruzeiro;28;COL;RB;31
Rodrigo Caio;Grêmio;30;BRA;CB;30
Ryan Gustavo;Corinthians;37;BRA;LM,DM;20
Mycael;Athletico Paranaense;41;BRA;GK;20
Mateo Zuleta;Atlético Goianiense;19;COL;RW,DM;22
Matheus Gonçalves;Flamengo;20;BRA;LM;18
Esquerdinha;Fluminense;53;BRA;LB;18
Alysson Edward;Grêmio;47;BRA;RW;18
Lyncon;Vasco da Gama;33;BRA;CB;19
Derek;Atlético Goianiense;20;BRA;FW;26
Luighi;Palmeiras;57;BRA;FW;18
Everaldo;Vitória;37;BRA;LM;30
Victor Hugo;Atlético Mineiro;40;BRA;AM;19
Gabriel;Athletico Paranaense;3;BRA;DM;32
Bruno Lopes;Vasco da Gama;72;BRA;RW;16
Yony González;Atlético Goianiense;9;COL;FW;30
Lucas Kal;Atlético Goianiense;7;BRA;CM;28
Rhaldney;Atlético Goianiense;11;BRA;CM;25
Emiliano Rodríguez;Atlético Goianiense;20;URU;FW,RM;20
Dé Marcão;Atlético Goianiense;5;BRA;CB;23
Luiz Felipe;Atlético Goianiense;15;BRA;CB;30
Fellipe Mateus;Criciúma;150;BRA;LM;33
Rafinha;São Paulo;13;BRA;RB;38
Lautaro Díaz;Cruzeiro;26;ARG;LW;26
Matheus Henrique;Cruzeiro;97;BRA;RM;26
Cássio;Cruzeiro;1;BRA;GK;37
Iago;Bahia;25;BRA;LB;27
Ronie Carrillo;Juventude;79;ECU;FW;27
David;Juventude;18;BRA;LM;24
Bernard;Atlético Mineiro;20;BRA;AM;31
Júnior Alonso;Atlético Mineiro;8;PAR;CB;31
Jan Carlos Hurtado;Atlético Goianiense;9;VEN;FW;24
Derek;Atlético Goianiense;21;BRA;FW;26
Janderson;Atlético Goianiense;7;BRA;RW;25
Yony González;Atlético Goianiense;22;COL;RW;30
Gabriel Baralhas;Atlético Goianiense;19;BRA;CM;25
Budiga Roni;Atlético Goianiense;17;BRA;RB;25
Alex Santana;Corinthians;80;BRA;DM;29
Hugo Souza;Corinthians;1;BRA;GK;25
Igor;Botafogo (RJ);99;BRA;FW;23
Mauricio;Palmeiras;18;BRA;RM,RW;23
Felipe Anderson;Palmeiras;9;BRA;LM;31
Matias Arezo;Grêmio;9;URU;FW;21
Lawan;Vitória;33;BRA;FW;19
Luis Miguel;Vitória;19;BRA;RM,LW;19
Ricardo;Vitória;28;BRA;CM;30
André Ramalho;Corinthians;5;BRA;CB;32
Fausto Vera;Atlético Mineiro;18;ARG;CM;24
Lyanco;Atlético Mineiro;2;BRA;CB;27
Alex Teixeira;Vasco da Gama;90;BRA;LW,RW;34
Philippe Coutinho;Vasco da Gama;11;BRA;AM;32
Emerson Rodríguez;Vasco da Gama;17;COL;LW,RW;23
Luiz Fernando;Atlético Goianiense;10;BRA;LM,LW;27
Gustavo Campanharo;Atlético Goianiense;15;BRA;DM;32
Yony González;Atlético Goianiense;20;COL;RM,FW;30
Luiz Felipe;Atlético Goianiense;5;BRA;CB;30
Budiga Roni;Atlético Goianiense;2;BRA;RB;25
Lucas Kal;Atlético Goianiense;16;BRA;DM;28
Nonato;Fluminense;16;BRA;AM;26
Thiago Silva;Fluminense;3;BRA;CB;39
Kaio Jorge;Cruzeiro;9;BRA;FW,RW;22
Éder;Criciúma;100;ITA;FW;37
Juan Ignacio Dinenno;Cruzeiro;19;ARG;RW;29
Walace;Cruzeiro;20;BRA;CM;29
Carlos Alberto;Botafogo (RJ);27;BRA;FW;22
Allan;Botafogo (RJ);28;BRA;DM,CM;33
Charles Rigon Matos;Corinthians;8;BRA;WB,CM;28
Jemerson;Grêmio;28;BRA;CB;31
Lucas Kal;Atlético Goianiense;18;BRA;CM;28
Shaylon;Atlético Goianiense;19;BRA;CM;27
Gonzalo Freitas;Atlético Goianiense;5;URU;DM;32
Tiago;Bahia;77;BRA;FW;19
Ruan Pablo;Bahia;52;BRA;LM;16
Kevin Serna;Fluminense;90;COL;LW;26
Agustín Giay;Palmeiras;4;ARG;RB;20
Marcelo Lomba;Palmeiras;14;BRA;GK;37
José Breno;Vitória;50;BRA;CM;20
Machado;Vitória;36;BRA;DM;28
Neris;Vitória;77;BRA;CB;32
EDU;Vitória;43;BRA;CB;24
Diego Gonçalves;Juventude;13;BRA;LW;30
Luciano Rodríguez;Bahia;17;URU;FW;21
David Duarte;Bahia;33;BRA;CB;29
Vitor Hugo;Bahia;31;BRA;CB;33
Alexandro Bernabei;Internacional;26;ARG;LB;23
Jhonatan Jowjow;Red Bull Bragantino;6;BRA;DM,AM;21
Juliano;Red Bull Bragantino;59;BRA;FW;16
Matheus Cunha;Flamengo;25;BRA;GK;23
Janderson;Atlético Goianiense;11;BRA;RW;25
Shaylon;Atlético Goianiense;18;BRA;AM,LM;27
Lucas Kal;Atlético Goianiense;17;BRA;DM;28
Yeferson Rodallega;Atlético Goianiense;6;COL;LB;23
Gabriel Souza;Vasco da Gama;19;BRA;RW;19
Liziero;São Paulo;26;BRA;CM;26
Carlos Eduardo;Vitória;96;BRA;LW;27
Josef de Souza;Vasco da Gama;5;BRA;DM;35
Leonardo Realpe;Red Bull Bragantino;2;ECU;CB;23
Jan Carlos Hurtado;Atlético Goianiense;19;VEN;FW;24
Joel Campbell;Atlético Goianiense;7;CRC;RW;32
Matheus Martins;Botafogo (RJ);37;BRA;FW;21
Edson Carioca;Juventude;17;BRA;RM;27
Miguel Monsalve;Grêmio;11;COL;FW;20
Alexander Aravena;Grêmio;16;CHI;LW;21
Juan Pablo;Cuiabá;63;BRA;LB;22
Martin Braithwaite;Grêmio;22;DEN;FW;33
Davi Goes;Juventude;88;BRA;CM;19
Yan Souto;Juventude;70;BRA;CM;22
Thiago Almada;Botafogo (RJ);23;ARG;LW;23
Marcos Antônio;São Paulo;20;BRA;DM;24
José Sabino;São Paulo;35;BRA;CB;27
Joel Campbell;Atlético Goianiense;18;CRC;AM;32
Eli;Atlético Goianiense;20;BRA;RW;20
Ricardo Mathias;Internacional;49;BRA;DM;18
Agustín Rogel;Internacional;18;URU;CB;26
Deyverson;Atlético Mineiro;9;BRA;FW;33
Talles Magno;Corinthians;43;BRA;FW;22
Ignácio;Fluminense;4;BRA;CB;27
Bruno Tabata;Internacional;17;BRA;RW;27
Chumbinho;Red Bull Bragantino;53;BRA;RM;20
Fabrício;Red Bull Bragantino;37;BRA;GK;24
Luis Eduardo Marques dos Santos;Criciúma;20;BRA;RB;27
Joel Campbell;Atlético Goianiense;10;CRC;AM;32
Jorginho;Atlético Goianiense;18;BRA;AM;33
Shaylon;Atlético Goianiense;17;BRA;DM;27
Rafael Haller;Atlético Goianiense;13;URU;RB;24
Dudu Vieira;Juventude;30;BRA;DM;30
Facundo Bernal;Fluminense;31;URU;DM;20
Gabriel Baralhas;Atlético Goianiense;16;BRA;DM,CM;25
Patrick de Paula;Criciúma;85;BRA;CM;24
João Ricardo Riedi;Fortaleza;180;BRA;GK;35
Henrique;São Paulo;37;BRA;RW;17
Michael;Flamengo;30;BRA;LW;28
Riquelme;Red Bull Bragantino;32;BRA;DM;18
Facundo Bernal;Fluminense;5;URU;DM;21
Bruno Praxedes;Athletico Paranaense;8;BRA;CM;22
Anthoni;Internacional;24;BRA;GK;22
Sergio Antonio De Luiz Junior;Criciúma;35;BRA;RM;29
Gustavo Sauer;Cuiabá;19;BRA;RM;31
Werik Popó;Criciúma;77;BRA;FW;22
Joel Campbell;Atlético Goianiense;9;CRC;FW,RM;32
Alejo Cruz;Atlético Goianiense;16;URU;LW,LB;24
Matías Lacava;Atlético Goianiense;20;VEN;LM;21
Jorginho;Atlético Goianiense;17;BRA;FW,LB;33
Héctor;Corinthians;22;ESP;AM;28
José Andrés Martínez;Corinthians;70;VEN;CM;30
Carlos Alcaraz;Flamengo;37;ARG;DM,CM;21
Nathan;Internacional;23;BRA;RB;22
Gustavo Mosquito;Vitória;7;BRA;RW;26
Jean Meneses;Vasco da Gama;21;CHI;AM;31
Mateus Pasinato;Cuiabá;14;BRA;GK;32
Ronaldo;Juventude;96;BRA;DM;27
Eros Mancuso;Fortaleza;33;ARG;RM;25
Alix Vinicius;Atlético Goianiense;17;BRA;RW;24
Joel Campbell;Atlético Goianiense;8;CRC;AM;32
Matías Lacava;Atlético Goianiense;19;VEN;DM;21
Janderson;Atlético Goianiense;20;BRA;RW,AM;25
Gustavo Campanharo;Atlético Goianiense;18;BRA;DM;32
Philipe Sampaio;Atlético Goianiense;4;BRA;CB;29
Gabriel Fuentes;Fluminense;31;COL;LB;27
Gonzalo Plata;Flamengo;45;ECU;RW,LW;23
Alex Sandro;Flamengo;26;BRA;LB;33
Fabrizio Peralta;Cruzeiro;33;PAR;DM;22
Jamal Lewis;São Paulo;3;NIR;WB;26
Santiago Longo;São Paulo;4;ARG;CM;26
Ruan;São Paulo;22;BRA;CB;25
Alex Telles;Botafogo (RJ);13;BRA;LB;31
Vitinho;Botafogo (RJ);22;BRA;RB;25
André Carrillo;Corinthians;19;PER;RM,FW;33
Muriel Becker;Vitória;22;BRA;GK;37
Memphis;Corinthians;94;NED;FW;30
Matías Lacava;Atlético Goianiense;18;VEN;LW;21
Rhaldney;Atlético Goianiense;16;BRA;DM;25
Alix Vinicius;Atlético Goianiense;3;BRA;CB;24
Adriano Martins;Atlético Goianiense;4;BRA;CB;27
Adryelson;Botafogo (RJ);34;BRA;CB;26
Maxime Dominguez;Vasco da Gama;26;SUI;DM;28
Arthur;Red Bull Bragantino;27;BRA;AM,RB;21
Jonathan;Cruzeiro;34;BRA;CB;20
Wallace;Flamengo;64;BRA;LM,FW;19
Felipe Teresa;Flamengo;40;BRA;LM,FW;18
Allan;Flamengo;29;BRA;CM;27
Daniel Sales;Flamengo;51;BRA;RB;18
Jhonata Robert;Criciúma;50;BRA;LM;24
Juan Martín Lucero;Fortaleza;197;ARG;FW;32
Sergio Palacios;Red Bull Bragantino;13;COL;RB,CB;19
Ivan Cavaleiro;Red Bull Bragantino;9;POR;LM;30
Matías Lacava;Atlético Goianiense;10;VEN;LW;21
Shaylon;Atlético Goianiense;20;BRA;RW,LW;27
Gonzalo Freitas;Atlético Goianiense;19;URU;RM,LW;32
Jean Carlos Alves Ferreira;Atlético Goianiense;22;BRA;RM,RW;19
Victor Hugo;Fluminense;20;BRA;DM;20
Clayton;Internacional;20;BRA;CB;24
Pedro Rocha Neves;Criciúma;28;BRA;AM;29
Igor Schlemper;Grêmio;34;BRA;RW;19
Shaylon;Atlético Goianiense;16;BRA;RM;27
Luiz Fernando;Atlético Goianiense;18;BRA;LW;27
Jean Carlos Alves Ferreira;Atlético Goianiense;20;BRA;RB;19
Joel Campbell;Atlético Goianiense;17;CRC;RM,RW;32
Tevis Gabriel Alves Santos;Cruzeiro;66;BRA;LW;18
Caio Maia;Atlético Mineiro;39;BRA;LW;19
Renato Augusto;Fluminense;7;BRA;LW;36
Lucas Belezi;Athletico Paranaense;45;BRA;CB;21
Jan Carlos Hurtado;Atlético Goianiense;18;VEN;FW;24
Pedro Paranhos;Atlético Goianiense;19;BRA;RW;18
Luis Otávio;Internacional;39;BRA;DM;17
Jhosefer;Cruzeiro;58;BRA;LW;20
Lucas Romero;Cruzeiro;180;ARG;DM;30
Jair;Vasco da Gama;8;BRA;DM;30
Janderson;Atlético Goianiense;17;BRA;RW,LW;25
Gonzalo Freitas;Atlético Goianiense;15;URU;DM;33
Max Alegria;Vasco da Gama;16;BRA;LW;20
Nicolás Acevedo;Bahia;26;URU;DM;25
Victor Hugo;Red Bull Bragantino;50;BRA;RW;21
Claudinho;Criciúma;150;BRA;RM;24
Jan Carlos Hurtado;Atlético Goianiense;20;VEN;FW;24
Matías Lacava;Atlético Goianiense;7;VEN;RW;22
Alejo Cruz;Atlético Goianiense;10;URU;AM;24
Janderson;Atlético Goianiense;19;BRA;RW;25
Gabriel Delfim;Atlético Mineiro;1;BRA;GK;22
Vitor Eudes;Fluminense;98;BRA;GK;26
Barreto;Criciúma;200;BRA;DM;28
Marcos Victor;Athletico Paranaense;43;BRA;RB;22
Ogundana Shola;Flamengo;54;NGA;CM;19
Kaique Kenji Takamura Correa;Cruzeiro;69;BRA;LW;18
Adriel;Bahia;23;BRA;GK;23
David;Cuiabá;20;BRA;LB;17
Guilherme;Flamengo;47;BRA;AM;18
Braian Aguirre;Internacional;35;ARG;RB;24
Gonzalo Freitas;Atlético Goianiense;16;URU;AM;33
Matheus Rossetto;Fortaleza;20;BRA;DM;28
Jan Carlos Hurtado;Atlético Goianiense;17;VEN;FW;24
Pedrão;Atlético Goianiense;15;BRA;CB;31
Paulinho;Vasco da Gama;18;BRA;RM;27
Isaque;Fluminense;37;BRA;RW;17
Eduardo Vinícius;Cuiabá;15;BRA;DM;19
Igor Jesus;Botafogo (RJ);99;BRA;FW;23
Kauan;Cuiabá;49;BRA;LW,DM;18
Rafael;Botafogo (RJ);2;BRA;RW;34
Ryan Francisco;São Paulo;49;BRA;FW;18
Igor;São Paulo;34;BRA;CB;17
Eduardo Melo;Criciúma;99;BRA;FW;23
Luis Eduardo Marques dos Santos;Criciúma;31;BRA;RB;27
Danilo Fernandes;Bahia;1;BRA;GK;36
Budiga Roni;Atlético Goianiense;8;BRA;CM;25
Matías Lacava;Atlético Goianiense;17;VEN;LM;22
Luiz Gustavo;Atlético Goianiense;16;BRA;DM;21
Weverton;Cruzeiro;44;BRA;LW;21
